,zona,fecha,Freq
466,Dorada,2020-10,111568
467,Dorada,2020-11,116160
468,Dorada,2020-12,122281
469,Dorada,2021-01,114945
470,Dorada,2021-02,114824
471,Dorada,2021-03,113585
472,Dorada,2021-04,114472
473,Dorada,2021-05,129686
474,Dorada,2021-06,138380
475,Dorada,2021-07,142588
476,Dorada,2021-08,135367
477,Dorada,2021-09,120092
478,Dorada,2021-10,112699
479,Dorada,2021-11,120081
480,Dorada,2021-12,126817
481,Norte,2018-01,262021
482,Norte,2018-02,233260
483,Norte,2018-03,256698
484,Norte,2018-04,267855
485,Norte,2018-05,261785
486,Norte,2018-06,274917
487,Norte,2018-07,260828
488,Norte,2018-08,275981
489,Norte,2018-09,269739
490,Norte,2018-10,250946
491,Norte,2018-11,264295
492,Norte,2018-12,273428
493,Norte,2019-01,286433
494,Norte,2019-02,287941
495,Norte,2019-03,275813
496,Norte,2019-04,295348
497,Norte,2019-05,312989
498,Norte,2019-06,297128
499,Norte,2019-07,298063
500,Norte,2019-08,298532
501,Norte,2019-09,296446
502,Norte,2019-10,300106
503,Norte,2019-11,282993
504,Norte,2019-12,309477
505,Norte,2020-01,273372
506,Norte,2020-02,246042
507,Norte,2020-03,287942
508,Norte,2020-04,272088
509,Norte,2020-05,293166
510,Norte,2020-06,288349
511,Norte,2020-07,306321
512,Norte,2020-08,305226
513,Norte,2020-09,306609
514,Norte,2020-10,293525
515,Norte,2020-11,301986
516,Norte,2020-12,319285
517,Norte,2021-01,310524
518,Norte,2021-02,290435
519,Norte,2021-03,300779
520,Norte,2021-04,297228
521,Norte,2021-05,321443
522,Norte,2021-06,345584
523,Norte,2021-07,341981
524,Norte,2021-08,334843
525,Norte,2021-09,331738
526,Norte,2021-10,296072
527,Norte,2021-11,337152
528,Norte,2021-12,304207
529,Oriente,2018-01,790121
530,Oriente,2018-02,695047
531,Oriente,2018-03,745046
532,Oriente,2018-04,779158
533,Oriente,2018-05,773403
534,Oriente,2018-06,817848
535,Oriente,2018-07,802033
536,Oriente,2018-08,818822
537,Oriente,2018-09,829442
538,Oriente,2018-10,790739
539,Oriente,2018-11,801335
540,Oriente,2018-12,772981
541,Oriente,2019-01,833989
542,Oriente,2019-02,705903
543,Oriente,2019-03,755351
544,Oriente,2019-04,811179
545,Oriente,2019-05,825101
546,Oriente,2019-06,804788
547,Oriente,2019-07,825972
548,Oriente,2019-08,824869
549,Oriente,2019-09,847720
550,Oriente,2019-10,857011
551,Oriente,2019-11,797367
552,Oriente,2019-12,839879
553,Oriente,2020-01,843332
554,Oriente,2020-02,775091
555,Oriente,2020-03,727580
556,Oriente,2020-04,800391
557,Oriente,2020-05,838051
558,Oriente,2020-06,745617
559,Oriente,2020-07,895270
560,Oriente,2020-08,861854
561,Oriente,2020-09,887633
562,Oriente,2020-10,879875
563,Oriente,2020-11,885356
564,Oriente,2020-12,879570
565,Oriente,2021-01,888557
566,Oriente,2021-02,792909
567,Oriente,2021-03,784351
568,Oriente,2021-04,802173
569,Oriente,2021-05,876398
570,Oriente,2021-06,903132
571,Oriente,2021-07,917981
572,Oriente,2021-08,895374
573,Oriente,2021-09,866816
574,Oriente,2021-10,861010
575,Oriente,2021-11,896981
576,Oriente,2021-12,857204
577,Sur,2018-01,415136
578,Sur,2018-02,390759
579,Sur,2018-03,423691
580,Sur,2018-04,438671
581,Sur,2018-05,451051
582,Sur,2018-06,434841
583,Sur,2018-07,451080
584,Sur,2018-08,458017
585,Sur,2018-09,454958
586,Sur,2018-10,424451
587,Sur,2018-11,431437
588,Sur,2018-12,424825
589,Sur,2019-01,396543
590,Sur,2019-02,380869
591,Sur,2019-03,410412
592,Sur,2019-04,421078
593,Sur,2019-05,409180
594,Sur,2019-06,422500
595,Sur,2019-07,437163
596,Sur,2019-08,439811
597,Sur,2019-09,439413
598,Sur,2019-10,423594
599,Sur,2019-11,412261
600,Sur,2019-12,425291
601,Sur,2020-01,399891
602,Sur,2020-02,383289
603,Sur,2020-03,316440
604,Sur,2020-04,398988
605,Sur,2020-05,420203
606,Sur,2020-06,370745
607,Sur,2020-07,453437
608,Sur,2020-08,418489
609,Sur,2020-09,447525
610,Sur,2020-10,424083
611,Sur,2020-11,435711
612,Sur,2020-12,420155
613,Sur,2021-01,420885
614,Sur,2021-02,386504
615,Sur,2021-03,387664
616,Sur,2021-04,407011
617,Sur,2021-05,423088
618,Sur,2021-06,448584
619,Sur,2021-07,454793
620,Sur,2021-08,450379
621,Sur,2021-09,432860
622,Sur,2021-10,392096
623,Sur,2021-11,416797
624,Sur,2021-12,422675
625,Turistica Residencial,2018-01,104283
626,Turistica Residencial,2018-02,94376
627,Turistica Residencial,2018-03,101986
628,Turistica Residencial,2018-04,96207
629,Turistica Residencial,2018-05,106937
630,Turistica Residencial,2018-06,110172
631,Turistica Residencial,2018-07,102819
632,Turistica Residencial,2018-08,107716
633,Turistica Residencial,2018-09,99077
634,Turistica Residencial,2018-10,81202
635,Turistica Residencial,2018-11,83909
636,Turistica Residencial,2018-12,99530
637,Turistica Residencial,2019-01,92432
638,Turistica Residencial,2019-02,99875
639,Turistica Residencial,2019-03,93457
640,Turistica Residencial,2019-04,106453
641,Turistica Residencial,2019-05,109208
642,Turistica Residencial,2019-06,101556
643,Turistica Residencial,2019-07,106319
644,Turistica Residencial,2019-08,104845
645,Turistica Residencial,2019-09,95999
646,Turistica Residencial,2019-10,92819
647,Turistica Residencial,2019-11,88831
648,Turistica Residencial,2019-12,99345
649,Turistica Residencial,2020-01,91311
650,Turistica Residencial,2020-02,104903
651,Turistica Residencial,2020-03,97334
652,Turistica Residencial,2020-04,102913
653,Turistica Residencial,2020-05,93571
654,Turistica Residencial,2020-06,97795
655,Turistica Residencial,2020-07,99125
656,Turistica Residencial,2020-08,100189
657,Turistica Residencial,2020-09,98398
658,Turistica Residencial,2020-10,94557
659,Turistica Residencial,2020-11,100491
660,Turistica Residencial,2020-12,106602
661,Turistica Residencial,2021-01,104533
662,Turistica Residencial,2021-02,108614
663,Turistica Residencial,2021-03,104156
664,Turistica Residencial,2021-04,111096
665,Turistica Residencial,2021-05,117493
666,Turistica Residencial,2021-06,124234
667,Turistica Residencial,2021-07,131982
668,Turistica Residencial,2021-08,113181
669,Turistica Residencial,2021-09,103534
670,Turistica Residencial,2021-10,91672
671,Turistica Residencial,2021-11,103995
672,Turistica Residencial,2021-12,105295
