"","Wcol","Anio","consumo","mes"
"405","FRACC. COSTA BRAVA",2020,"2269","enero"
"406","FRACC. COSTA BRAVA",2018,"2749","enero"
"407","FRACC. COSTA BRAVA",2021,"2468","enero"
"408","FRACC. COSTA BRAVA",2019,"2553","enero"
"409","FRACC. COSTA DORADA",2020,"3833","enero"
"410","FRACC. COSTA DORADA",2019,"3638","enero"
"411","FRACC. COSTA DORADA",2021,"3665","enero"
"412","FRACC. COSTA DORADA",2018,"3222","enero"
"413","FRACC. COTO DIAMANTE",2019,"2063","enero"
"414","FRACC. COTO DIAMANTE",2018,"2601","enero"
"415","FRACC. COTO DIAMANTE",2020,"1929","enero"
"416","FRACC. COTO DIAMANTE",2021,"2353","enero"
"417","FRACC. COTO PLATINO",2021,"1878","enero"
"418","FRACC. COTO PLATINO",2020,"1032","enero"
"419","FRACC. COTO PLATINO",2019,"467","enero"
"420","FRACC. COTO PLATINO",2018,"","enero"
"421","FRACC. DEL BOSQUE",2018,"7839","enero"
"422","FRACC. DEL BOSQUE",2021,"7511","enero"
"423","FRACC. DEL BOSQUE",2019,"7133","enero"
"424","FRACC. DEL BOSQUE",2020,"8405","enero"
"425","FRACC. DEL VALLE",2021,"2800","enero"
"426","FRACC. DEL VALLE",2020,"2944","enero"
"427","FRACC. DEL VALLE",2019,"3117","enero"
"428","FRACC. DEL VALLE",2018,"3044","enero"
"429","FRACC. DELFINES",2019,"1161","enero"
"430","FRACC. DELFINES",2021,"1045","enero"
"431","FRACC. DELFINES",2018,"922","enero"
"432","FRACC. DELFINES",2020,"1028","enero"
"433","FRACC. DOÑA CHONITA",2018,"3973","enero"
"434","FRACC. DOÑA CHONITA",2019,"4757","enero"
"435","FRACC. DOÑA CHONITA",2020,"4568","enero"
"436","FRACC. DOÑA CHONITA",2021,"4737","enero"
"437","FRACC. EL CAMPESTRE",2019,"5377","enero"
"438","FRACC. EL CAMPESTRE",2021,"7464","enero"
"439","FRACC. EL CAMPESTRE",2020,"6785","enero"
"440","FRACC. EL CAMPESTRE",2018,"5869","enero"
"441","FRACC. EL CID",2020,"33364","enero"
"442","FRACC. EL CID",2021,"43446","enero"
"443","FRACC. EL CID",2019,"36668","enero"
"444","FRACC. EL CID",2018,"40475","enero"
"445","FRACC. EL DORADO",2018,"7386","enero"
"446","FRACC. EL DORADO",2019,"5850","enero"
"447","FRACC. EL DORADO",2020,"6942","enero"
"448","FRACC. EL DORADO",2021,"7529","enero"
"449","FRACC. EL ENCANTO",2018,"1992","enero"
"450","FRACC. EL ENCANTO",2019,"2090","enero"
"451","FRACC. EL ENCANTO",2020,"2089","enero"
"452","FRACC. EL ENCANTO",2021,"2276","enero"
"453","FRACC. EL PROGRESO",2018,"3085","enero"
"454","FRACC. EL PROGRESO",2021,"3340","enero"
"455","FRACC. EL PROGRESO",2020,"3301","enero"
"456","FRACC. EL PROGRESO",2019,"3443","enero"
"457","FRACC. EL SECRETO",2019,"2118","enero"
"458","FRACC. EL SECRETO",2018,"2478","enero"
"459","FRACC. EL SECRETO",2021,"2455","enero"
"460","FRACC. EL SECRETO",2020,"1943","enero"
"461","FRACC. EL TOREO",2021,"13987","enero"
"462","FRACC. EL TOREO",2018,"13237","enero"
"463","FRACC. EL TOREO",2020,"12109","enero"
"464","FRACC. EL TOREO",2019,"11399","enero"
"465","FRACC. ESMERALDA",2021,"3261","enero"
"466","FRACC. ESMERALDA",2020,"3329","enero"
"467","FRACC. ESMERALDA",2018,"3470","enero"
"468","FRACC. ESMERALDA",2019,"3186","enero"
"469","FRACC. ESTADIO",2018,"5224","enero"
"470","FRACC. ESTADIO",2021,"5298","enero"
"471","FRACC. ESTADIO",2019,"4526","enero"
"472","FRACC. ESTADIO",2020,"5070","enero"
"473","FRACC. FLAMINGOS",2021,"6878","enero"
"474","FRACC. FLAMINGOS",2020,"6356","enero"
"475","FRACC. FLAMINGOS",2018,"5307","enero"
